fullname,name,size,mtime,date,ext,key
/data/Python_cours02_avance/requirements.txt,requirements.txt,106,1755773967.2352502,2025-08-21T12:59:27.235250,.txt,"('requirements.txt', 106, 1755773967.2352502)"
/data/Python_cours02_avance/day02/demo.txt,demo.txt,14,1757836219.1179483,2025-09-14T09:50:19.117948,.txt,"('demo.txt', 14, 1757836219.1179483)"
/data/Python_cours02_avance/hangman/words_fr.txt,words_fr.txt,236,1755860107.673573,2025-08-22T12:55:07.673573,.txt,"('words_fr.txt', 236, 1755860107.673573)"
/data/Python_cours02_avance/bonus/build/main/warn-main.txt,warn-main.txt,1406,1755773452.7123377,2025-08-21T12:50:52.712338,.txt,"('warn-main.txt', 1406, 1755773452.7123377)"
/data/Python_cours02_avance/bonus/build/test/warn-test.txt,warn-test.txt,1406,1755773988.4334972,2025-08-21T12:59:48.433497,.txt,"('warn-test.txt', 1406, 1755773988.4334972)"
/data/Python_cours02_avance/.venv/lib/python3.12/site-packages/pkg_resources/api_tests.txt,api_tests.txt,12595,1755773957.1641333,2025-08-21T12:59:17.164133,.txt,"('api_tests.txt', 12595, 1755773957.1641333)"
/data/Python_cours02_avance/.venv/lib/python3.12/site-packages/pyinstaller-6.15.0.dist-info/entry_points.txt,entry_points.txt,376,1755773958.8361528,2025-08-21T12:59:18.836153,.txt,"('entry_points.txt', 376, 1755773958.8361528)"
/data/Python_cours02_avance/.venv/lib/python3.12/site-packages/pyinstaller-6.15.0.dist-info/COPYING.txt,COPYING.txt,32138,1755773958.8361528,2025-08-21T12:59:18.836153,.txt,"('COPYING.txt', 32138, 1755773958.8361528)"
/data/Python_cours02_avance/.venv/lib/python3.12/site-packages/pyinstaller-6.15.0.dist-info/top_level.txt,top_level.txt,12,1755773958.8371527,2025-08-21T12:59:18.837153,.txt,"('top_level.txt', 12, 1755773958.8371527)"
/data/Python_cours02_avance/.venv/lib/python3.12/site-packages/setuptools-80.9.0.dist-info/entry_points.txt,entry_points.txt,2449,1755773957.2631345,2025-08-21T12:59:17.263134,.txt,"('entry_points.txt', 2449, 1755773957.2631345)"
